Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	16	9.404133528116449e-7	0.2711864406779661
Burkholderiaceae	119060	10	5.877583455072781e-7	0.1694915254237288
Microbacteriaceae	85023	5	2.9387917275363904e-7	0.0847457627118644
Streptomycetaceae	2062	5	2.9387917275363904e-7	0.0847457627118644
Rhizobiaceae	82115	4	2.3510333820291124e-7	0.06779661016949153
Pseudomonadaceae	135621	4	2.3510333820291124e-7	0.06779661016949153
Halomonadaceae	28256	3	1.763275036521834e-7	0.05084745762711865
Pseudonocardiaceae	2070	3	1.763275036521834e-7	0.05084745762711865
Oscillospiraceae	216572	3	1.763275036521834e-7	0.05084745762711865
Hyphomicrobiaceae	45401	2	1.1755166910145562e-7	0.03389830508474576
Devosiaceae	2831106	2	1.1755166910145562e-7	0.03389830508474576
Sphingomonadaceae	41297	2	1.1755166910145562e-7	0.03389830508474576
