Taxon	TaxID	Fragments	PropTotal	PropNonHost
Moraxellaceae	468	86	1.9490403016207857e-5	0.0864321608040201
Pseudomonadaceae	135621	78	1.7677342270514103e-5	0.07839195979899498
Halomonadaceae	28256	65	1.4731118558761751e-5	0.06532663316582915
Pseudonocardiaceae	2070	61	1.3824588185914876e-5	0.061306532663316586
Comamonadaceae	80864	52	1.1784894847009401e-5	0.05226130653266332
Nocardiopsaceae	83676	43	9.745201508103929e-6	0.04321608040201005
Streptomycetaceae	2062	38	8.612038542045332e-6	0.03819095477386935
Phyllobacteriaceae	69277	34	7.705508169198454e-6	0.034170854271356785
Rhodobacteraceae	31989	33	7.4788755759867355e-6	0.033165829145728645
Burkholderiaceae	119060	30	6.798977796351578e-6	0.03015075376884422
Caulobacteraceae	76892	29	6.572345203139858e-6	0.02914572864321608
Propionibacteriaceae	31957	28	6.345712609928139e-6	0.02814070351758794
Xanthomonadaceae	32033	26	5.892447423504701e-6	0.02613065326633166
Bradyrhizobiaceae	41294	25	5.665814830292982e-6	0.02512562814070352
Rhizobiaceae	82115	23	5.212549643869543e-6	0.023115577889447236
Microbacteriaceae	85023	22	4.985917050657823e-6	0.022110552763819097
Micrococcaceae	1268	20	4.5326518642343856e-6	0.020100502512562814
Sphingomonadaceae	41297	16	3.6261214913875083e-6	0.016080402010050253
Micromonosporaceae	28056	15	3.399488898175789e-6	0.01507537688442211
Alcaligenaceae	506	14	3.1728563049640696e-6	0.01407035175879397
Stappiaceae	2821832	13	2.9462237117523503e-6	0.01306532663316583
Corynebacteriaceae	1653	13	2.9462237117523503e-6	0.01306532663316583
Xanthobacteraceae	335928	11	2.4929585253289117e-6	0.011055276381909548
Nocardioidaceae	85015	11	2.4929585253289117e-6	0.011055276381909548
Bacillaceae	186817	9	2.0396933389054735e-6	0.009045226130653266
Erythrobacteraceae	335929	8	1.8130607456937541e-6	0.008040201005025126
Acetobacteraceae	433	8	1.8130607456937541e-6	0.008040201005025126
Enterobacteriaceae	543	8	1.8130607456937541e-6	0.008040201005025126
Mycobacteriaceae	1762	8	1.8130607456937541e-6	0.008040201005025126
Devosiaceae	2831106	7	1.5864281524820348e-6	0.007035175879396985
Beijerinckiaceae	45404	7	1.5864281524820348e-6	0.007035175879396985
Nocardiaceae	85025	7	1.5864281524820348e-6	0.007035175879396985
Dietziaceae	85029	7	1.5864281524820348e-6	0.007035175879396985
Actinomycetaceae	2049	6	1.3597955592703155e-6	0.006030150753768844
Hyphomicrobiaceae	45401	5	1.1331629660585964e-6	0.005025125628140704
Methylobacteriaceae	119045	5	1.1331629660585964e-6	0.005025125628140704
