Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	24	2.1476644596431478e-5	0.2926829268292683
Burkholderiaceae	119060	23	2.05817844049135e-5	0.2804878048780488
Moraxellaceae	468	10	8.948601915179782e-6	0.12195121951219512
Halomonadaceae	28256	5	4.474300957589891e-6	0.06097560975609756
Alcaligenaceae	506	3	2.6845805745539347e-6	0.036585365853658534
Pseudomonadaceae	135621	3	2.6845805745539347e-6	0.036585365853658534
Pseudonocardiaceae	2070	3	2.6845805745539347e-6	0.036585365853658534
Corynebacteriaceae	1653	3	2.6845805745539347e-6	0.036585365853658534
Oxalobacteraceae	75682	2	1.7897203830359565e-6	0.024390243902439025
Phyllobacteriaceae	69277	2	1.7897203830359565e-6	0.024390243902439025
Streptomycetaceae	2062	2	1.7897203830359565e-6	0.024390243902439025
Weeksellaceae	2762318	2	1.7897203830359565e-6	0.024390243902439025
