Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonas	286	109	4.9081920426949664e-5	0.10009182736455463
Streptomyces	1883	70	3.1520499356756665e-5	0.0642791551882461
Halomonas	2745	62	2.7918156573127333e-5	0.05693296602387511
Pseudonocardia	1847	56	2.5216399485405334e-5	0.051423324150596875
Mesorhizobium	68287	51	2.2964935245637e-5	0.046831955922865015
Acinetobacter	469	48	2.1614056701776e-5	0.0440771349862259
Paracoccus	265	42	1.8912299614054e-5	0.03856749311294766
Bradyrhizobium	374	28	1.2608199742702667e-5	0.025711662075298437
Nocardiopsis	2013	28	1.2608199742702667e-5	0.025711662075298437
Cupriavidus	106589	21	9.456149807027e-6	0.01928374655647383
Brevundimonas	41275	20	9.005856959073333e-6	0.018365472910927456
Amycolatopsis	1813	20	9.005856959073333e-6	0.018365472910927456
Sphingomonas	13687	19	8.555564111119667e-6	0.017447199265381085
Ralstonia	48736	18	8.105271263166e-6	0.01652892561983471
Nocardioides	1839	18	8.105271263166e-6	0.01652892561983471
Rhizobium	379	17	7.654978415212334e-6	0.015610651974288337
Lysobacter	68	13	5.853807023397667e-6	0.011937557392102846
Variovorax	34072	12	5.403514175444e-6	0.011019283746556474
Sinorhizobium	28105	11	4.953221327490333e-6	0.010101010101010102
Methylobacterium	407	11	4.953221327490333e-6	0.010101010101010102
Dietzia	37914	11	4.953221327490333e-6	0.010101010101010102
Hydrogenophaga	47420	10	4.502928479536667e-6	0.009182736455463728
Microbacterium	33882	10	4.502928479536667e-6	0.009182736455463728
Saccharopolyspora	1835	9	4.052635631583e-6	0.008264462809917356
Micromonospora	1873	9	4.052635631583e-6	0.008264462809917356
Pseudoxanthomonas	83618	8	3.6023427836293333e-6	0.0073461891643709825
Burkholderia	32008	8	3.6023427836293333e-6	0.0073461891643709825
Delftia	80865	8	3.6023427836293333e-6	0.0073461891643709825
Rhodococcus	1827	8	3.6023427836293333e-6	0.0073461891643709825
Brucella	234	7	3.1520499356756668e-6	0.006427915518824609
Egicoccus	1755825	7	3.1520499356756668e-6	0.006427915518824609
Phreatobacter	1632780	6	2.701757087722e-6	0.005509641873278237
Sphingobium	165695	6	2.701757087722e-6	0.005509641873278237
Luteimonas	83614	6	2.701757087722e-6	0.005509641873278237
Sinomonas	596707	6	2.701757087722e-6	0.005509641873278237
Cellulomonas	1707	6	2.701757087722e-6	0.005509641873278237
Frankia	1854	6	2.701757087722e-6	0.005509641873278237
Aminobacter	31988	5	2.2514642397683334e-6	0.004591368227731864
Hyphomicrobium	81	5	2.2514642397683334e-6	0.004591368227731864
Roseovarius	74030	5	2.2514642397683334e-6	0.004591368227731864
Azospirillum	191	5	2.2514642397683334e-6	0.004591368227731864
Xanthomonas	338	5	2.2514642397683334e-6	0.004591368227731864
Thermomonas	141948	5	2.2514642397683334e-6	0.004591368227731864
Frateuria	70411	5	2.2514642397683334e-6	0.004591368227731864
Massilia	149698	5	2.2514642397683334e-6	0.004591368227731864
Kutzneria	43356	5	2.2514642397683334e-6	0.004591368227731864
Mycobacterium	1763	5	2.2514642397683334e-6	0.004591368227731864
Bifidobacterium	1678	5	2.2514642397683334e-6	0.004591368227731864
Roseitalea	1915401	4	1.8011713918146666e-6	0.0036730945821854912
