Taxon	TaxID	Fragments	PropTotal	PropNonHost
Delftia	80865	38	5.2474663713355766e-5	0.21839080459770116
Ralstonia	48736	37	5.1093751510372724e-5	0.21264367816091953
Pseudomonas	286	20	2.761824405966093e-5	0.11494252873563218
Hydrogenophilus	70774	8	1.1047297623864372e-5	0.04597701149425287
Comamonas	283	7	9.666385420881325e-6	0.040229885057471264
Methylibium	316612	6	8.285473217898279e-6	0.034482758620689655
Hyphomicrobium	81	6	8.285473217898279e-6	0.034482758620689655
Mesorhizobium	68287	5	6.904561014915233e-6	0.028735632183908046
Sphingobium	165695	5	6.904561014915233e-6	0.028735632183908046
Acinetobacter	469	5	6.904561014915233e-6	0.028735632183908046
Streptomyces	1883	4	5.523648811932186e-6	0.022988505747126436
Sphaerotilus	34102	3	4.142736608949139e-6	0.017241379310344827
Alcaligenes	507	3	4.142736608949139e-6	0.017241379310344827
Azospirillum	191	3	4.142736608949139e-6	0.017241379310344827
Mycobacteroides	670516	3	4.142736608949139e-6	0.017241379310344827
Nocardioides	1839	3	4.142736608949139e-6	0.017241379310344827
Pseudonocardia	1847	3	4.142736608949139e-6	0.017241379310344827
Actinomyces	1654	3	4.142736608949139e-6	0.017241379310344827
Pandoraea	93217	2	2.761824405966093e-6	0.011494252873563218
Herbaspirillum	963	2	2.761824405966093e-6	0.011494252873563218
Bosea	85413	2	2.761824405966093e-6	0.011494252873563218
Mycolicibacterium	1866885	2	2.761824405966093e-6	0.011494252873563218
Nocardiopsis	2013	2	2.761824405966093e-6	0.011494252873563218
Miltoncostaea	2843200	2	2.761824405966093e-6	0.011494252873563218
