Taxon	TaxID	Fragments	PropTotal	PropNonHost
Ralstonia	48736	24	2.3070525442752223e-6	0.3076923076923077
Delftia	80865	17	1.6341622188616156e-6	0.21794871794871795
Cutibacterium	1912216	7	6.728903254136065e-7	0.08974358974358974
Mesorhizobium	68287	6	5.767631360688056e-7	0.07692307692307693
Pseudomonas	286	4	3.8450875737920366e-7	0.05128205128205128
Streptomyces	1883	4	3.8450875737920366e-7	0.05128205128205128
Thermomonospora	2019	4	3.8450875737920366e-7	0.05128205128205128
Burkholderia	32008	2	1.9225437868960183e-7	0.02564102564102564
Cupriavidus	106589	2	1.9225437868960183e-7	0.02564102564102564
Azospira	146937	2	1.9225437868960183e-7	0.02564102564102564
Rhodopseudomonas	1073	2	1.9225437868960183e-7	0.02564102564102564
Aureimonas	414371	2	1.9225437868960183e-7	0.02564102564102564
Halopseudomonas	2901189	2	1.9225437868960183e-7	0.02564102564102564
