Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	1142	0.000518594237246419	0.6090666666666666
Actinobacteria	201174	663	0.00030107528834884045	0.3536
Firmicutes	1239	26	1.1806874052895704e-5	0.013866666666666666
Euryarchaeota	28890	10	4.541105404959886e-6	0.005333333333333333
Planctomycetes	203682	9	4.086994864463898e-6	0.0048
Bacteroidetes	976	9	4.086994864463898e-6	0.0048
Deinococcus-Thermus	1297	7	3.1787737834719204e-6	0.0037333333333333333
Pisuviricota	2732408	5	2.270552702479943e-6	0.0026666666666666666
Cyanobacteria	1117	2	9.082210809919772e-7	0.0010666666666666667
Acidobacteria	57723	2	9.082210809919772e-7	0.0010666666666666667
