Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	5192	0.0003996916400551993	0.989329268292683
Ralstonia insidiosa	190721	21	1.6166264331970696e-6	0.0040015243902439025
Ralstonia solanacearum	305	7	5.388754777323566e-7	0.0013338414634146342
Microbacterium chocolatum	84292	5	3.849110555231118e-7	0.0009527439024390244
Stenotrophomonas maltophilia	40324	4	3.0792884441848946e-7	0.0007621951219512195
Pseudonocardia autotrophica	2074	4	3.0792884441848946e-7	0.0007621951219512195
Micromonospora coxensis	356852	4	3.0792884441848946e-7	0.0007621951219512195
Mesorhizobium sp. Pch-S	2082387	3	2.309466333138671e-7	0.0005716463414634146
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	2	1.5396442220924473e-7	0.00038109756097560977
Janthinobacterium sp. PAMC25594	2861284	2	1.5396442220924473e-7	0.00038109756097560977
Bordetella genomosp. 13	463040	2	1.5396442220924473e-7	0.00038109756097560977
Sagittula sp. P11	2009329	2	1.5396442220924473e-7	0.00038109756097560977
