Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	324	7.830870597038626e-5	0.13032984714400644
Pseudomonas stutzeri	316	98	2.3685966620672388e-5	0.039420756234915526
Burkholderia cenocepacia	95486	37	8.942660866988554e-6	0.014883346741753822
Acinetobacter lwoffii	28090	36	8.700967330042917e-6	0.014481094127111826
Halomonas sp. NyZ770	2883106	34	8.217580256151645e-6	0.013676588897827836
Nocardiopsis alba	53437	33	7.975886719206009e-6	0.01327433628318584
Nocardiopsis dassonvillei	2014	32	7.73419318226037e-6	0.012872083668543845
Streptomyces sp. CB00271	2750025	30	7.250806108369098e-6	0.012067578439259855
Ralstonia insidiosa	190721	28	6.767419034477825e-6	0.011263073209975865
Pseudonocardia autotrophica	2074	28	6.767419034477825e-6	0.011263073209975865
Halomonas hydrothermalis	115561	27	6.525725497532188e-6	0.01086082059533387
Halomonas sp. 18071143	2855441	25	6.042338423640915e-6	0.01005631536604988
Acinetobacter sp. WY4	2708348	25	6.042338423640915e-6	0.01005631536604988
Saccharopolyspora erythraea	1836	24	5.800644886695278e-6	0.009654062751407884
Hyphomicrobium nitrativorans	1427356	21	5.075564275858368e-6	0.008447304907481898
Halomonas meridiana	29570	21	5.075564275858368e-6	0.008447304907481898
Delftia acidovorans	80866	21	5.075564275858368e-6	0.008447304907481898
Prauserella marina	530584	21	5.075564275858368e-6	0.008447304907481898
Pseudonocardia sp. HH130630-07	1690815	20	4.833870738912732e-6	0.008045052292839904
Shinella zoogloeoides	352475	17	4.108790128075822e-6	0.006838294448913918
Halomonas tianxiuensis	2497861	17	4.108790128075822e-6	0.006838294448913918
Nocardiopsis sp. MT53	2865672	17	4.108790128075822e-6	0.006838294448913918
Egicoccus halophilus	1670830	17	4.108790128075822e-6	0.006838294448913918
Paracoccus sp. Arc7-R13	2500532	16	3.867096591130185e-6	0.006436041834271922
Pseudomonas sp. J380	2605424	15	3.625403054184549e-6	0.006033789219629927
Bradyrhizobium sp. 323S2	1404649	14	3.3837095172389124e-6	0.0056315366049879325
Rhodoplanes sp. Z2-YC6860	674703	14	3.3837095172389124e-6	0.0056315366049879325
Pseudolabrys sp. FHR47	2562284	14	3.3837095172389124e-6	0.0056315366049879325
Pseudomonas chlororaphis	587753	14	3.3837095172389124e-6	0.0056315366049879325
Actinomarinicola tropica	2789776	14	3.3837095172389124e-6	0.0056315366049879325
Methylobacterium radiodurans	2202828	13	3.142015980293276e-6	0.005229283990345938
Paracoccus liaowanqingii	2560053	12	2.900322443347639e-6	0.004827031375703942
Acinetobacter indicus	756892	12	2.900322443347639e-6	0.004827031375703942
Pseudonocardia sp. HH130629-09	1641402	12	2.900322443347639e-6	0.004827031375703942
Saccharopolyspora gregorii	33914	12	2.900322443347639e-6	0.004827031375703942
Microbacterium chocolatum	84292	12	2.900322443347639e-6	0.004827031375703942
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	11	2.6586289064020026e-6	0.004424778761061947
Aureimonas populi	1701758	11	2.6586289064020026e-6	0.004424778761061947
Brevundimonas nasdae	172043	11	2.6586289064020026e-6	0.004424778761061947
Halomonas sp. JS92-SW72	2306583	11	2.6586289064020026e-6	0.004424778761061947
Thermomonas aquatica	2202149	11	2.6586289064020026e-6	0.004424778761061947
Variovorax paradoxus	34073	11	2.6586289064020026e-6	0.004424778761061947
