Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	150	0.00022919588914253235	0.4672897196261682
Ralstonia insidiosa	190721	62	9.473430084558003e-5	0.19314641744548286
Methylobacterium radiotolerans	31998	9	1.3751753348551941e-5	0.028037383177570093
Brevundimonas diminuta	293	8	1.2223780754268391e-5	0.024922118380062305
Cutibacterium acnes	1747	8	1.2223780754268391e-5	0.024922118380062305
Ralstonia solanacearum	305	6	9.167835565701294e-6	0.018691588785046728
Microbacterium chocolatum	84292	6	9.167835565701294e-6	0.018691588785046728
Streptomyces sp. W1SF4	2305220	6	9.167835565701294e-6	0.018691588785046728
Pseudomonas muyukensis	2842357	5	7.639862971417744e-6	0.01557632398753894
Variovorax paradoxus	34073	4	6.1118903771341954e-6	0.012461059190031152
Stenotrophomonas maltophilia	40324	4	6.1118903771341954e-6	0.012461059190031152
Egicoccus halophilus	1670830	4	6.1118903771341954e-6	0.012461059190031152
Ralstonia mannitolilytica	105219	3	4.583917782850647e-6	0.009345794392523364
Janthinobacterium sp. LM6	1938606	3	4.583917782850647e-6	0.009345794392523364
Rhodovulum sp. MB263	308754	3	4.583917782850647e-6	0.009345794392523364
Pseudomonas sp. NS1(2017)	2025658	3	4.583917782850647e-6	0.009345794392523364
Pseudomonas stutzeri	316	3	4.583917782850647e-6	0.009345794392523364
Desulfarculus baarsii	453230	3	4.583917782850647e-6	0.009345794392523364
Glutamicibacter protophormiae	37930	3	4.583917782850647e-6	0.009345794392523364
Amycolatopsis aidingensis	2842453	3	4.583917782850647e-6	0.009345794392523364
Deinococcus geothermalis	68909	3	4.583917782850647e-6	0.009345794392523364
Burkholderia stabilis	95485	2	3.0559451885670977e-6	0.006230529595015576
Acidovorax sp. JMULE5	2518343	2	3.0559451885670977e-6	0.006230529595015576
Achromobacter xylosoxidans	85698	2	3.0559451885670977e-6	0.006230529595015576
Alcaligenes faecalis	511	2	3.0559451885670977e-6	0.006230529595015576
Rhodopseudomonas sp. SK50-23	340268	2	3.0559451885670977e-6	0.006230529595015576
Xanthomonas theicola	56464	2	3.0559451885670977e-6	0.006230529595015576
Leifsonia shinshuensis	150026	2	3.0559451885670977e-6	0.006230529595015576
Ruania sp. LR1S40	2897774	2	3.0559451885670977e-6	0.006230529595015576
Nocardiopsis sp. MT53	2865672	2	3.0559451885670977e-6	0.006230529595015576
Caldibacillus thermoamylovorans	35841	2	3.0559451885670977e-6	0.006230529595015576
Nitrospira moscoviensis	42253	2	3.0559451885670977e-6	0.006230529595015576
