Taxon	TaxID	Fragments	PropTotal	PropNonHost
Streptococcaceae	1300	174	1.0946238117669794e-5	0.16603053435114504
Pseudomonadaceae	135621	116	7.29749207844653e-6	0.11068702290076336
Propionibacteriaceae	31957	51	3.2083801379376984e-6	0.04866412213740458
Neisseriaceae	481	44	2.768014236652132e-6	0.04198473282442748
Comamonadaceae	80864	40	2.5163765787746655e-6	0.03816793893129771
Microbacteriaceae	85023	40	2.5163765787746655e-6	0.03816793893129771
Enterobacteriaceae	543	39	2.453467164305299e-6	0.03721374045801527
Oxalobacteraceae	75682	38	2.390557749835932e-6	0.03625954198473282
Prevotellaceae	171552	36	2.264738920897199e-6	0.03435114503816794
Streptomycetaceae	2062	34	2.1389200919584657e-6	0.03244274809160305
Xanthomonadaceae	32033	26	1.6356447762035326e-6	0.02480916030534351
Burkholderiaceae	119060	25	1.5727353617341659e-6	0.02385496183206107
Alcaligenaceae	506	25	1.5727353617341659e-6	0.02385496183206107
Caulobacteraceae	76892	20	1.2581882893873328e-6	0.019083969465648856
Sphingomonadaceae	41297	19	1.195278874917966e-6	0.01812977099236641
Phyllobacteriaceae	69277	18	1.1323694604485996e-6	0.01717557251908397
Erwiniaceae	1903409	17	1.0694600459792329e-6	0.016221374045801526
Pasteurellaceae	712	17	1.0694600459792329e-6	0.016221374045801526
Rhizobiaceae	82115	17	1.0694600459792329e-6	0.016221374045801526
Micrococcaceae	1268	17	1.0694600459792329e-6	0.016221374045801526
Pseudonocardiaceae	2070	17	1.0694600459792329e-6	0.016221374045801526
Fusobacteriaceae	203492	16	1.0065506315098662e-6	0.015267175572519083
Bradyrhizobiaceae	41294	13	8.178223881017663e-7	0.012404580152671756
Lactobacillaceae	33958	13	8.178223881017663e-7	0.012404580152671756
Actinomycetaceae	2049	10	6.290941446936664e-7	0.009541984732824428
Rhodobacteraceae	31989	9	5.661847302242998e-7	0.008587786259541985
Dermabacteraceae	85020	8	5.032753157549331e-7	0.007633587786259542
Nocardioidaceae	85015	8	5.032753157549331e-7	0.007633587786259542
Mycobacteriaceae	1762	8	5.032753157549331e-7	0.007633587786259542
Hyphomicrobiaceae	45401	7	4.403659012855665e-7	0.006679389312977099
Moraxellaceae	468	6	3.7745648681619984e-7	0.0057251908396946565
Nocardiaceae	85025	6	3.7745648681619984e-7	0.0057251908396946565
Nocardiopsaceae	83676	6	3.7745648681619984e-7	0.0057251908396946565
Veillonellaceae	31977	6	3.7745648681619984e-7	0.0057251908396946565
Weeksellaceae	2762318	6	3.7745648681619984e-7	0.0057251908396946565
Methylobacteriaceae	119045	5	3.145470723468332e-7	0.004770992366412214
Desulfobulbaceae	213121	5	3.145470723468332e-7	0.004770992366412214
Geodermatophilaceae	85030	5	3.145470723468332e-7	0.004770992366412214
Sphingobacteriaceae	84566	5	3.145470723468332e-7	0.004770992366412214
Halomonadaceae	28256	4	2.5163765787746654e-7	0.003816793893129771
Acetobacteraceae	433	4	2.5163765787746654e-7	0.003816793893129771
Corynebacteriaceae	1653	4	2.5163765787746654e-7	0.003816793893129771
Staphylococcaceae	90964	4	2.5163765787746654e-7	0.003816793893129771
Acidobacteriaceae	204434	4	2.5163765787746654e-7	0.003816793893129771
Yersiniaceae	1903411	3	1.8872824340809992e-7	0.0028625954198473282
Boseaceae	2831100	3	1.8872824340809992e-7	0.0028625954198473282
Roseobacteraceae	2854170	3	1.8872824340809992e-7	0.0028625954198473282
Dermacoccaceae	145357	3	1.8872824340809992e-7	0.0028625954198473282
Streptosporangiaceae	2004	3	1.8872824340809992e-7	0.0028625954198473282
Bifidobacteriaceae	31953	3	1.8872824340809992e-7	0.0028625954198473282
Enterococcaceae	81852	3	1.8872824340809992e-7	0.0028625954198473282
Sphaerobacteraceae	85002	3	1.8872824340809992e-7	0.0028625954198473282
Shewanellaceae	267890	2	1.2581882893873327e-7	0.0019083969465648854
Aeromonadaceae	84642	2	1.2581882893873327e-7	0.0019083969465648854
Rhodocyclaceae	75787	2	1.2581882893873327e-7	0.0019083969465648854
Zoogloeaceae	2008794	2	1.2581882893873327e-7	0.0019083969465648854
Brucellaceae	118882	2	1.2581882893873327e-7	0.0019083969465648854
Archangiaceae	39	2	1.2581882893873327e-7	0.0019083969465648854
Ornithinimicrobiaceae	2805590	2	1.2581882893873327e-7	0.0019083969465648854
Lawsonellaceae	2805586	2	1.2581882893873327e-7	0.0019083969465648854
Jiangellaceae	1217100	2	1.2581882893873327e-7	0.0019083969465648854
Bacillaceae	186817	2	1.2581882893873327e-7	0.0019083969465648854
Clostridiaceae	31979	2	1.2581882893873327e-7	0.0019083969465648854
Deinococcaceae	183710	2	1.2581882893873327e-7	0.0019083969465648854
Bacteroidaceae	815	2	1.2581882893873327e-7	0.0019083969465648854
Porphyromonadaceae	171551	2	1.2581882893873327e-7	0.0019083969465648854
Hymenobacteraceae	1853232	2	1.2581882893873327e-7	0.0019083969465648854
Lacipirellulaceae	2691359	2	1.2581882893873327e-7	0.0019083969465648854
