Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonadaceae	80864	1310	3.799019899266232e-5	0.09582327554677784
Pseudomonadaceae	135621	1180	3.422017924529889e-5	0.08631409553068539
Pseudonocardiaceae	2070	819	2.375112440838965e-5	0.059907834101382486
Xanthomonadaceae	32033	733	2.1257111344749223e-5	0.0536171457830444
Moraxellaceae	468	706	2.0474107243373742e-5	0.05164216224124058
Sphingomonadaceae	41297	699	2.0271106180054173e-5	0.051130129471143294
Streptomycetaceae	2062	579	1.679108795171869e-5	0.0423524248409041
Nocardiopsaceae	83676	472	1.3688071698119555e-5	0.034525638212274154
Phyllobacteriaceae	69277	420	1.218006379917418e-5	0.030721966205837174
Bradyrhizobiaceae	41294	315	9.135047849380635e-6	0.02304147465437788
Rhodobacteraceae	31989	314	9.10604769747784e-6	0.022968327115792553
Rhizobiaceae	82115	313	9.077047545575044e-6	0.022895179577207228
Microbacteriaceae	85023	288	8.352043748005151e-6	0.02106649111257406
Halomonadaceae	28256	247	7.16303751999053e-6	0.01806744203057567
Burkholderiaceae	119060	244	7.076037064282143e-6	0.017847999414819692
Mycobacteriaceae	1762	234	6.786035545254186e-6	0.017116524028966424
Nocardioidaceae	85015	216	6.264032811003864e-6	0.015799868334430547
Micrococcaceae	1268	215	6.235032659101068e-6	0.01572672079584522
Streptococcaceae	1300	181	5.249027494406016e-6	0.013239704483944115
Oxalobacteraceae	75682	172	4.988026127280855e-6	0.012581376636676175
Enterobacteriaceae	543	171	4.959025975378059e-6	0.012508229098090849
Micromonosporaceae	28056	159	4.611024152544511e-6	0.01163045863506693
Caulobacteraceae	76892	147	4.263022329710963e-6	0.010752688172043012
Coronaviridae	11118	143	4.1470217220997806e-6	0.010460098017701704
Alcaligenaceae	506	118	3.422017924529889e-6	0.008631409553068538
Hyphomicrobiaceae	45401	117	3.393017772627093e-6	0.008558262014483212
Bacillaceae	186817	108	3.132016405501932e-6	0.007899934167215274
Nocardiaceae	85025	107	3.1030162535991362e-6	0.007826786628629947
Methylobacteriaceae	119045	106	3.0740161016963407e-6	0.00775363909004462
Xanthobacteraceae	335928	99	2.871015038376771e-6	0.007241606319947334
Boseaceae	2831100	98	2.8420148864739756e-6	0.007168458781362007
Propionibacteriaceae	31957	96	2.784014582668384e-6	0.007022163704191354
Roseobacteraceae	2854170	91	2.6390138231544055e-6	0.006656426011264721
Corynebacteriaceae	1653	86	2.4940130636404274e-6	0.006290688318338088
Erythrobacteraceae	335929	83	2.4070126079320404e-6	0.006071245702582108
Devosiaceae	2831106	78	2.262011848418062e-6	0.005705508009655475
Neisseriaceae	481	61	1.7690092660705357e-6	0.004461999853704923
Aurantimonadaceae	255475	59	1.7110089622649444e-6	0.004315704776534269
Cellulomonadaceae	85016	52	1.5080078989453746e-6	0.0038036720064369835
Brucellaceae	118882	50	1.4500075951397833e-6	0.00365737692926633
Azospirillaceae	2829815	50	1.4500075951397833e-6	0.00365737692926633
Planococcaceae	186818	50	1.4500075951397833e-6	0.00365737692926633
Dietziaceae	85029	48	1.392007291334192e-6	0.003511081852095677
Acetobacteraceae	433	45	1.305006835625805e-6	0.0032916392363396972
Egicoccaceae	1755824	44	1.2760066837230093e-6	0.0032184916977543707
Lactobacillaceae	33958	44	1.2760066837230093e-6	0.0032184916977543707
Stappiaceae	2821832	43	1.2470065318202137e-6	0.003145344159169044
Acidiferrobacteraceae	1692041	42	1.218006379917418e-6	0.0030721966205837174
Thermaceae	188786	42	1.218006379917418e-6	0.0030721966205837174
Iamiaceae	633392	40	1.1600060761118267e-6	0.002925901543413064
Rhodanobacteraceae	1775411	39	1.131005924209031e-6	0.0028527540048277375
Zoogloeaceae	2008794	37	1.0730056204034397e-6	0.0027064589276570845
Ornithinimicrobiaceae	2805590	36	1.044005468500644e-6	0.0026333113890717576
Rhodocyclaceae	75787	32	9.280048608894614e-7	0.0023407212347304513
Jiangellaceae	1217100	32	9.280048608894614e-7	0.0023407212347304513
Gordoniaceae	85026	31	8.990047089866657e-7	0.0022675736961451248
Rhodospirillaceae	41295	29	8.410044051810743e-7	0.0021212786189744714
Parvibaculaceae	2813035	28	8.120042532782787e-7	0.002048131080389145
Chromatiaceae	1046	27	7.83004101375483e-7	0.0019749835418038184
Promicromonosporaceae	85017	27	7.83004101375483e-7	0.0019749835418038184
Thermomonosporaceae	2012	27	7.83004101375483e-7	0.0019749835418038184
Ectothiorhodospiraceae	72276	25	7.250037975698917e-7	0.001828688464633165
Brevibacteriaceae	85019	25	7.250037975698917e-7	0.001828688464633165
Prevotellaceae	171552	24	6.96003645667096e-7	0.0017555409260478386
Sphingobacteriaceae	84566	24	6.96003645667096e-7	0.0017555409260478386
Aeromonadaceae	84642	23	6.670034937643004e-7	0.0016823933874625119
Actinomycetaceae	2049	23	6.670034937643004e-7	0.0016823933874625119
Autographiviridae	2731643	23	6.670034937643004e-7	0.0016823933874625119
Methylocystaceae	31993	21	6.09003189958709e-7	0.0015360983102918587
Marinobacteraceae	2887365	21	6.09003189958709e-7	0.0015360983102918587
Intrasporangiaceae	85021	20	5.800030380559133e-7	0.001462950771706532
Bogoriellaceae	145358	20	5.800030380559133e-7	0.001462950771706532
Streptosporangiaceae	2004	20	5.800030380559133e-7	0.001462950771706532
Hafniaceae	1903412	19	5.510028861531177e-7	0.0013898032331212055
Chromobacteriaceae	1499392	18	5.22002734250322e-7	0.0013166556945358788
Geodermatophilaceae	85030	18	5.22002734250322e-7	0.0013166556945358788
Hymenobacteraceae	1853232	17	4.930025823475263e-7	0.0012435081559505523
Methylococcaceae	403	16	4.640024304447307e-7	0.0011703606173652256
Enterococcaceae	81852	16	4.640024304447307e-7	0.0011703606173652256
Flavobacteriaceae	49546	16	4.640024304447307e-7	0.0011703606173652256
Reoviridae	10880	16	4.640024304447307e-7	0.0011703606173652256
Phreatobacteraceae	2843305	15	4.35002278541935e-7	0.0010972130787798991
Yersiniaceae	1903411	15	4.35002278541935e-7	0.0010972130787798991
Myxococcaceae	31	15	4.35002278541935e-7	0.0010972130787798991
Clostridiaceae	31979	15	4.35002278541935e-7	0.0010972130787798991
Deinococcaceae	183710	15	4.35002278541935e-7	0.0010972130787798991
Chelatococcaceae	2036754	14	4.0600212663913934e-7	0.0010240655401945725
Dermabacteraceae	85020	14	4.0600212663913934e-7	0.0010240655401945725
Natrialbaceae	1644061	14	4.0600212663913934e-7	0.0010240655401945725
Pasteurellaceae	712	13	3.7700197473634365e-7	0.0009509180016092459
Methylophilaceae	32011	13	3.7700197473634365e-7	0.0009509180016092459
Ruaniaceae	1331736	13	3.7700197473634365e-7	0.0009509180016092459
Vicinamibacteraceae	2211325	12	3.48001822833548e-7	0.0008777704630239193
Amorphaceae	2685818	11	3.190016709307523e-7	0.0008046229244385927
Sphingosinicellaceae	2820280	11	3.190016709307523e-7	0.0008046229244385927
Shewanellaceae	267890	11	3.190016709307523e-7	0.0008046229244385927
Azonexaceae	2008795	11	3.190016709307523e-7	0.0008046229244385927
Desulfovibrionaceae	194924	11	3.190016709307523e-7	0.0008046229244385927
Frankiaceae	74712	11	3.190016709307523e-7	0.0008046229244385927
Planctomycetaceae	126	11	3.190016709307523e-7	0.0008046229244385927
Beijerinckiaceae	45404	10	2.900015190279567e-7	0.000731475385853266
Maricaulaceae	2800061	10	2.900015190279567e-7	0.000731475385853266
Cellvibrionaceae	1706371	10	2.900015190279567e-7	0.000731475385853266
Dermacoccaceae	145357	10	2.900015190279567e-7	0.000731475385853266
Kribbellaceae	2726069	10	2.900015190279567e-7	0.000731475385853266
Bifidobacteriaceae	31953	10	2.900015190279567e-7	0.000731475385853266
Actinopolysporaceae	622451	10	2.900015190279567e-7	0.000731475385853266
Nakamurellaceae	85031	10	2.900015190279567e-7	0.000731475385853266
Fusobacteriaceae	203492	10	2.900015190279567e-7	0.000731475385853266
Haloarculaceae	1963268	10	2.900015190279567e-7	0.000731475385853266
Hyphomonadaceae	69657	9	2.61001367125161e-7	0.0006583278472679394
Vibrionaceae	641	9	2.61001367125161e-7	0.0006583278472679394
Thiobacillaceae	2008790	9	2.61001367125161e-7	0.0006583278472679394
Tsukamurellaceae	85028	9	2.61001367125161e-7	0.0006583278472679394
Acidobacteriaceae	204434	9	2.61001367125161e-7	0.0006583278472679394
Erwiniaceae	1903409	8	2.3200121522236534e-7	0.0005851803086826128
Catenulisporaceae	414877	8	2.3200121522236534e-7	0.0005851803086826128
Miltoncostaeaceae	2843199	8	2.3200121522236534e-7	0.0005851803086826128
Pirellulaceae	2691357	8	2.3200121522236534e-7	0.0005851803086826128
Isosphaeraceae	1763524	8	2.3200121522236534e-7	0.0005851803086826128
Alcanivoracaceae	224372	7	2.0300106331956967e-7	0.0005120327700972862
Piscirickettsiaceae	135616	7	2.0300106331956967e-7	0.0005120327700972862
Sinobacteraceae	568386	7	2.0300106331956967e-7	0.0005120327700972862
Usitatibacteraceae	2803844	7	2.0300106331956967e-7	0.0005120327700972862
Sterolibacteriaceae	2008793	7	2.0300106331956967e-7	0.0005120327700972862
Anaeromyxobacteraceae	1524215	7	2.0300106331956967e-7	0.0005120327700972862
Beutenbergiaceae	125316	7	2.0300106331956967e-7	0.0005120327700972862
Eggerthellaceae	1643826	7	2.0300106331956967e-7	0.0005120327700972862
Staphylococcaceae	90964	7	2.0300106331956967e-7	0.0005120327700972862
Paenibacillaceae	186822	7	2.0300106331956967e-7	0.0005120327700972862
Thermoanaerobacteraceae	186814	7	2.0300106331956967e-7	0.0005120327700972862
Trueperaceae	332247	7	2.0300106331956967e-7	0.0005120327700972862
Synechococcaceae	1890426	7	2.0300106331956967e-7	0.0005120327700972862
Gemmataceae	1914233	7	2.0300106331956967e-7	0.0005120327700972862
Kaistiaceae	2831111	6	1.74000911416774e-7	0.00043888523151195964
Cardiobacteriaceae	868	6	1.74000911416774e-7	0.00043888523151195964
Polyangiaceae	49	6	1.74000911416774e-7	0.00043888523151195964
Conexibacteraceae	320583	6	1.74000911416774e-7	0.00043888523151195964
Rubrobacteraceae	84997	6	1.74000911416774e-7	0.00043888523151195964
Cyclobacteriaceae	563798	6	1.74000911416774e-7	0.00043888523151195964
Chitinophagaceae	563835	6	1.74000911416774e-7	0.00043888523151195964
Gemmatimonadaceae	219687	6	1.74000911416774e-7	0.00043888523151195964
Blastochloridaceae	2831090	5	1.4500075951397834e-7	0.000365737692926633
Breoghaniaceae	2831104	5	1.4500075951397834e-7	0.000365737692926633
Gallionellaceae	90627	5	1.4500075951397834e-7	0.000365737692926633
Archangiaceae	39	5	1.4500075951397834e-7	0.000365737692926633
Geobacteraceae	213422	5	1.4500075951397834e-7	0.000365737692926633
Euzebyaceae	908622	5	1.4500075951397834e-7	0.000365737692926633
Lacipirellulaceae	2691359	5	1.4500075951397834e-7	0.000365737692926633
Verrucomicrobiaceae	203557	5	1.4500075951397834e-7	0.000365737692926633
