Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonadaceae	135621	13	1.6457883642762646e-6	0.13
Comamonadaceae	80864	11	1.3925901543876085e-6	0.11
Moraxellaceae	468	10	1.2659910494432804e-6	0.1
Caulobacteraceae	76892	8	1.0127928395546243e-6	0.08
Propionibacteriaceae	31957	7	8.861937346102963e-7	0.07
Streptomycetaceae	2062	7	8.861937346102963e-7	0.07
Nocardiopsaceae	83676	6	7.595946296659682e-7	0.06
Lactobacillaceae	33958	6	7.595946296659682e-7	0.06
Xanthomonadaceae	32033	5	6.329955247216402e-7	0.05
Micrococcaceae	1268	5	6.329955247216402e-7	0.05
Sphingomonadaceae	41297	4	5.063964197773121e-7	0.04
Pseudonocardiaceae	2070	4	5.063964197773121e-7	0.04
Bacillaceae	186817	4	5.063964197773121e-7	0.04
Bradyrhizobiaceae	41294	3	3.797973148329841e-7	0.03
Phyllobacteriaceae	69277	3	3.797973148329841e-7	0.03
Alcaligenaceae	506	2	2.5319820988865607e-7	0.02
Oxalobacteraceae	75682	2	2.5319820988865607e-7	0.02
