Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonas	286	16	1.7583903518879783e-6	0.16
Cutibacterium	1912216	8	8.791951759439892e-7	0.08
Lacticaseibacillus	2759736	8	8.791951759439892e-7	0.08
Pseudonocardia	1847	7	7.692957789509905e-7	0.07
Streptomyces	1883	7	7.692957789509905e-7	0.07
Nocardiopsis	2013	6	6.593963819579918e-7	0.06
Stenotrophomonas	40323	5	5.494969849649931e-7	0.05
Brevundimonas	41275	5	5.494969849649931e-7	0.05
Micrococcus	1269	5	5.494969849649931e-7	0.05
Microbacterium	33882	5	5.494969849649931e-7	0.05
Bradyrhizobium	374	4	4.395975879719946e-7	0.04
Comamonas	283	4	4.395975879719946e-7	0.04
Dokdonella	323413	3	3.296981909789959e-7	0.03
Amycolatopsis	1813	3	3.296981909789959e-7	0.03
Acinetobacter	469	2	2.197987939859973e-7	0.02
Ralstonia	48736	2	2.197987939859973e-7	0.02
Paraburkholderia	1822464	2	2.197987939859973e-7	0.02
Janthinobacterium	29580	2	2.197987939859973e-7	0.02
Alcaligenes	507	2	2.197987939859973e-7	0.02
Arthrobacter	1663	2	2.197987939859973e-7	0.02
Staphylococcus	1279	2	2.197987939859973e-7	0.02
