Taxon	TaxID	Fragments	PropTotal	PropNonHost
Comamonas	283	190	6.6247450475585216e-6	0.11987381703470032
Pseudomonas	286	132	4.6024544540932885e-6	0.0832807570977918
Xanthomonas	338	113	3.939979949337436e-6	0.07129337539432176
Acinetobacter	469	107	3.730777474151378e-6	0.06750788643533123
Betacoronavirus	694002	98	3.41697376137229e-6	0.061829652996845424
Sphingomonas	13687	72	2.510429702232703e-6	0.045425867507886436
Acidovorax	12916	68	2.3709613854419973e-6	0.04290220820189274
Streptomyces	1883	54	1.8828222766745272e-6	0.03406940063091483
Mesorhizobium	68287	26	9.065440591395872e-7	0.016403785488958992
Sphingobium	165695	26	9.065440591395872e-7	0.016403785488958992
Mycobacterium	1763	26	9.065440591395872e-7	0.016403785488958992
Bosea	85413	24	8.368099007442343e-7	0.015141955835962145
Blastomonas	150203	24	8.368099007442343e-7	0.015141955835962145
Pseudonocardia	1847	24	8.368099007442343e-7	0.015141955835962145
Halomonas	2745	22	7.670757423488815e-7	0.0138801261829653
Bradyrhizobium	374	20	6.973415839535286e-7	0.012618296529968454
Cupriavidus	106589	16	5.578732671628229e-7	0.010094637223974764
Nocardiopsis	2013	16	5.578732671628229e-7	0.010094637223974764
Sphingopyxis	165697	15	5.230061879651464e-7	0.00946372239747634
Cutibacterium	1912216	15	5.230061879651464e-7	0.00946372239747634
Microbacterium	33882	14	4.8813910876747e-7	0.008832807570977918
Rotavirus	10912	14	4.8813910876747e-7	0.008832807570977918
Paracoccus	265	13	4.532720295697936e-7	0.008201892744479496
Klebsiella	570	13	4.532720295697936e-7	0.008201892744479496
Diaphorobacter	238749	12	4.1840495037211714e-7	0.007570977917981073
Thermus	270	12	4.1840495037211714e-7	0.007570977917981073
Agrobacterium	357	10	3.486707919767643e-7	0.006309148264984227
Brevundimonas	41275	10	3.486707919767643e-7	0.006309148264984227
Nocardioides	1839	10	3.486707919767643e-7	0.006309148264984227
Lysobacter	68	9	3.1380371277908786e-7	0.0056782334384858045
Stenotrophomonas	40323	9	3.1380371277908786e-7	0.0056782334384858045
Achromobacter	222	9	3.1380371277908786e-7	0.0056782334384858045
Corynebacterium	1716	9	3.1380371277908786e-7	0.0056782334384858045
Amycolatopsis	1813	8	2.7893663358141146e-7	0.005047318611987382
Micromonospora	1873	8	2.7893663358141146e-7	0.005047318611987382
Bacillus	1386	8	2.7893663358141146e-7	0.005047318611987382
Rhizobium	379	7	2.44069554383735e-7	0.004416403785488959
Croceicoccus	1295327	7	2.44069554383735e-7	0.004416403785488959
Ralstonia	48736	7	2.44069554383735e-7	0.004416403785488959
Microcella	337004	7	2.44069554383735e-7	0.004416403785488959
Rothia	32207	7	2.44069554383735e-7	0.004416403785488959
Saccharopolyspora	1835	7	2.44069554383735e-7	0.004416403785488959
Sinorhizobium	28105	6	2.0920247518605857e-7	0.0037854889589905363
Devosia	46913	6	2.0920247518605857e-7	0.0037854889589905363
Chelatococcus	28209	6	2.0920247518605857e-7	0.0037854889589905363
Erythrobacter	1041	6	2.0920247518605857e-7	0.0037854889589905363
Caulobacter	75	6	2.0920247518605857e-7	0.0037854889589905363
Luteimonas	83614	6	2.0920247518605857e-7	0.0037854889589905363
Sulfurifustis	1692042	6	2.0920247518605857e-7	0.0037854889589905363
Paraburkholderia	1822464	6	2.0920247518605857e-7	0.0037854889589905363
Azospira	146937	6	2.0920247518605857e-7	0.0037854889589905363
Aeromonas	642	5	1.7433539598838216e-7	0.0031545741324921135
Mycolicibacterium	1866885	5	1.7433539598838216e-7	0.0031545741324921135
Anabaena	1163	5	1.7433539598838216e-7	0.0031545741324921135
Ruficoccus	2175957	5	1.7433539598838216e-7	0.0031545741324921135
Martelella	293088	4	1.3946831679070573e-7	0.002523659305993691
Hyphomicrobium	81	4	1.3946831679070573e-7	0.002523659305993691
Pararhodospirillum	1612157	4	1.3946831679070573e-7	0.002523659305993691
Moraxella	475	4	1.3946831679070573e-7	0.002523659305993691
Shewanella	22	4	1.3946831679070573e-7	0.002523659305993691
Agrococcus	46352	4	1.3946831679070573e-7	0.002523659305993691
Arthrobacter	1663	4	1.3946831679070573e-7	0.002523659305993691
Serinicoccus	265976	4	1.3946831679070573e-7	0.002523659305993691
Luteitalea	2004797	4	1.3946831679070573e-7	0.002523659305993691
Nitratireductor	245876	3	1.0460123759302928e-7	0.0018927444794952682
Aureimonas	414371	3	1.0460123759302928e-7	0.0018927444794952682
Xanthobacter	279	3	1.0460123759302928e-7	0.0018927444794952682
Methylobacterium	407	3	1.0460123759302928e-7	0.0018927444794952682
Methylorubrum	2282523	3	1.0460123759302928e-7	0.0018927444794952682
Pseudorhodoplanes	1734920	3	1.0460123759302928e-7	0.0018927444794952682
Sphingorhabdus	1434046	3	1.0460123759302928e-7	0.0018927444794952682
Rhizorhabdus	1649486	3	1.0460123759302928e-7	0.0018927444794952682
Altererythrobacter	361177	3	1.0460123759302928e-7	0.0018927444794952682
Sphingosinicella	335405	3	1.0460123759302928e-7	0.0018927444794952682
Rhodobacter	1060	3	1.0460123759302928e-7	0.0018927444794952682
Lelliottia	1330545	3	1.0460123759302928e-7	0.0018927444794952682
Serratia	613	3	1.0460123759302928e-7	0.0018927444794952682
Vibrio	662	3	1.0460123759302928e-7	0.0018927444794952682
Variovorax	34072	3	1.0460123759302928e-7	0.0018927444794952682
Burkholderia	32008	3	1.0460123759302928e-7	0.0018927444794952682
Bordetella	517	3	1.0460123759302928e-7	0.0018927444794952682
Massilia	149698	3	1.0460123759302928e-7	0.0018927444794952682
Methylibium	316612	3	1.0460123759302928e-7	0.0018927444794952682
Janibacter	53457	3	1.0460123759302928e-7	0.0018927444794952682
Nocardia	1817	3	1.0460123759302928e-7	0.0018927444794952682
Rhodococcus	1827	3	1.0460123759302928e-7	0.0018927444794952682
Dietzia	37914	3	1.0460123759302928e-7	0.0018927444794952682
Saccharomonospora	1851	3	1.0460123759302928e-7	0.0018927444794952682
