Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonas	286	124	8.038009412897958e-6	0.10616438356164383
Comamonas	283	120	7.778718786675444e-6	0.10273972602739725
Acidovorax	12916	60	3.889359393337722e-6	0.05136986301369863
Sphingomonas	13687	58	3.7597140802264644e-6	0.04965753424657534
Acinetobacter	469	52	3.370778140892692e-6	0.04452054794520548
Streptomyces	1883	46	2.9818422015589203e-6	0.039383561643835614
Mesorhizobium	68287	36	2.333615636002633e-6	0.030821917808219176
Pseudonocardia	1847	36	2.333615636002633e-6	0.030821917808219176
Sphingobium	165695	34	2.2039703228913757e-6	0.02910958904109589
Nocardiopsis	2013	34	2.2039703228913757e-6	0.02910958904109589
Bradyrhizobium	374	24	1.5557437573350888e-6	0.02054794520547945
Escherichia	561	24	1.5557437573350888e-6	0.02054794520547945
Lysobacter	68	21	1.3612757876682026e-6	0.01797945205479452
Halomonas	2745	20	1.296453131112574e-6	0.017123287671232876
Blastomonas	150203	18	1.1668078180013165e-6	0.015410958904109588
Paracoccus	265	18	1.1668078180013165e-6	0.015410958904109588
Betacoronavirus	694002	18	1.1668078180013165e-6	0.015410958904109588
Mycolicibacterium	1866885	14	9.075171917788018e-7	0.011986301369863013
Nocardioides	1839	14	9.075171917788018e-7	0.011986301369863013
Aquibium	2911176	13	8.42694535223173e-7	0.01113013698630137
Amycolatopsis	1813	13	8.42694535223173e-7	0.01113013698630137
Microbacterium	33882	13	8.42694535223173e-7	0.01113013698630137
Mycobacterium	1763	10	6.48226565556287e-7	0.008561643835616438
Bosea	85413	9	5.834039090006582e-7	0.007705479452054794
Massilia	149698	9	5.834039090006582e-7	0.007705479452054794
Ornithinimicrobium	125287	9	5.834039090006582e-7	0.007705479452054794
Micromonospora	1873	9	5.834039090006582e-7	0.007705479452054794
Halalkalibacterium	2893055	9	5.834039090006582e-7	0.007705479452054794
Devosia	46913	8	5.185812524450296e-7	0.00684931506849315
Sphingopyxis	165697	8	5.185812524450296e-7	0.00684931506849315
Thermomonas	141948	8	5.185812524450296e-7	0.00684931506849315
Phreatobacter	1632780	7	4.537585958894009e-7	0.0059931506849315065
Luteimonas	83614	7	4.537585958894009e-7	0.0059931506849315065
Diaphorobacter	238749	7	4.537585958894009e-7	0.0059931506849315065
Agrobacterium	357	6	3.889359393337722e-7	0.005136986301369863
Clavibacter	1573	6	3.889359393337722e-7	0.005136986301369863
Acidipropionibacterium	1912215	6	3.889359393337722e-7	0.005136986301369863
Hyphomicrobium	81	5	3.241132827781435e-7	0.004280821917808219
Pseudolabrys	556257	5	3.241132827781435e-7	0.004280821917808219
Moraxella	475	5	3.241132827781435e-7	0.004280821917808219
Bordetella	517	5	3.241132827781435e-7	0.004280821917808219
Ilumatobacter	682522	5	3.241132827781435e-7	0.004280821917808219
Rotavirus	10912	5	3.241132827781435e-7	0.004280821917808219
Rhizobium	379	4	2.592906262225148e-7	0.003424657534246575
Sinorhizobium	28105	4	2.592906262225148e-7	0.003424657534246575
Aureimonas	414371	4	2.592906262225148e-7	0.003424657534246575
Methylobacterium	407	4	2.592906262225148e-7	0.003424657534246575
Novosphingobium	165696	4	2.592906262225148e-7	0.003424657534246575
Erythrobacter	1041	4	2.592906262225148e-7	0.003424657534246575
Tistrella	171436	4	2.592906262225148e-7	0.003424657534246575
Brevundimonas	41275	4	2.592906262225148e-7	0.003424657534246575
Pseudoxanthomonas	83618	4	2.592906262225148e-7	0.003424657534246575
Luteibacter	242605	4	2.592906262225148e-7	0.003424657534246575
Burkholderia	32008	4	2.592906262225148e-7	0.003424657534246575
Chitinimonas	240411	4	2.592906262225148e-7	0.003424657534246575
Saccharopolyspora	1835	4	2.592906262225148e-7	0.003424657534246575
Arthrobacter	1663	4	2.592906262225148e-7	0.003424657534246575
Thermobifida	83677	4	2.592906262225148e-7	0.003424657534246575
Streptomonospora	104204	4	2.592906262225148e-7	0.003424657534246575
Corynebacterium	1716	4	2.592906262225148e-7	0.003424657534246575
Aquihabitans	1648491	4	2.592906262225148e-7	0.003424657534246575
Egicoccus	1755825	4	2.592906262225148e-7	0.003424657534246575
Shinella	323620	3	1.944679696668861e-7	0.0025684931506849314
Pannonibacter	227873	3	1.944679696668861e-7	0.0025684931506849314
Hypericibacter	2705399	3	1.944679696668861e-7	0.0025684931506849314
Caulobacter	75	3	1.944679696668861e-7	0.0025684931506849314
Hyphomonas	85	3	1.944679696668861e-7	0.0025684931506849314
Xanthomonas	338	3	1.944679696668861e-7	0.0025684931506849314
Stenotrophomonas	40323	3	1.944679696668861e-7	0.0025684931506849314
Sulfuricaulis	1744881	3	1.944679696668861e-7	0.0025684931506849314
Rhodoferax	28065	3	1.944679696668861e-7	0.0025684931506849314
Variovorax	34072	3	1.944679696668861e-7	0.0025684931506849314
