Taxon	TaxID	Fragments	PropTotal	PropNonHost
Pseudomonas	286	276	1.3855247105069109e-5	0.09945945945945946
Cutibacterium	1912216	196	9.839233451425888e-6	0.07063063063063063
Helicobacter	209	165	8.283028160639141e-6	0.05945945945945946
Streptomyces	1883	96	4.819216384371863e-6	0.034594594594594595
Stenotrophomonas	40323	94	4.718816043030783e-6	0.033873873873873875
Microbacterium	33882	76	3.8152129709610586e-6	0.02738738738738739
Ralstonia	48736	73	3.664612458949438e-6	0.026306306306306305
Comamonas	283	64	3.2128109229145758e-6	0.023063063063063063
Pseudonocardia	1847	59	2.9618100695618744e-6	0.021261261261261263
Variovorax	34072	56	2.811209557550254e-6	0.02018018018018018
Paraburkholderia	1822464	48	2.4096081921859316e-6	0.017297297297297298
Mesorhizobium	68287	45	2.259007680174311e-6	0.016216216216216217
Brevundimonas	41275	41	2.05820699749215e-6	0.014774774774774775
Corynebacterium	1716	41	2.05820699749215e-6	0.014774774774774775
Bosea	85413	39	1.9578066561510697e-6	0.014054054054054054
Paracoccus	265	39	1.9578066561510697e-6	0.014054054054054054
Prevotella	838	36	1.8072061441394488e-6	0.012972972972972972
Agrobacterium	357	34	1.7068058027983684e-6	0.012252252252252252
Nocardioides	1839	33	1.6566056321278281e-6	0.011891891891891892
Rhodococcus	1827	32	1.6064054614572879e-6	0.011531531531531532
Janthinobacterium	29580	30	1.5060051201162074e-6	0.010810810810810811
Nocardiopsis	2013	30	1.5060051201162074e-6	0.010810810810810811
Lactococcus	1357	30	1.5060051201162074e-6	0.010810810810810811
Bradyrhizobium	374	29	1.4558049494456672e-6	0.010450450450450451
Acinetobacter	469	26	1.3052044374340465e-6	0.009369369369369369
Rhizobium	379	25	1.255004266763506e-6	0.009009009009009009
Staphylococcus	1279	24	1.2048040960929658e-6	0.008648648648648649
Mycolicibacterium	1866885	23	1.1546039254224256e-6	0.008288288288288289
Lysobacter	68	22	1.1044037547518853e-6	0.007927927927927928
Arthrobacter	1663	22	1.1044037547518853e-6	0.007927927927927928
Methylobacterium	407	21	1.0542035840813451e-6	0.0075675675675675675
Sphingomonas	13687	20	1.0040034134108049e-6	0.007207207207207207
Halomonas	2745	20	1.0040034134108049e-6	0.007207207207207207
Shinella	323620	19	9.538032427402646e-7	0.006846846846846847
Sphingopyxis	165697	17	8.534029013991842e-7	0.006126126126126126
Nocardia	1817	17	8.534029013991842e-7	0.006126126126126126
Sphingobium	165695	16	8.032027307286439e-7	0.005765765765765766
Xanthomonas	338	16	8.032027307286439e-7	0.005765765765765766
Schaalia	2529408	15	7.530025600581037e-7	0.005405405405405406
Serratia	613	14	7.028023893875635e-7	0.005045045045045045
Amycolatopsis	1813	14	7.028023893875635e-7	0.005045045045045045
Devosia	46913	13	6.526022187170232e-7	0.0046846846846846845
Pseudoxanthomonas	83618	13	6.526022187170232e-7	0.0046846846846846845
Hydrogenophaga	47420	13	6.526022187170232e-7	0.0046846846846846845
Acidovorax	12916	13	6.526022187170232e-7	0.0046846846846846845
Delftia	80865	13	6.526022187170232e-7	0.0046846846846846845
Kocuria	57493	13	6.526022187170232e-7	0.0046846846846846845
Glutamicibacter	1742989	13	6.526022187170232e-7	0.0046846846846846845
Brucella	234	12	6.024020480464829e-7	0.004324324324324324
Lacticaseibacillus	2759736	12	6.024020480464829e-7	0.004324324324324324
Veillonella	29465	12	6.024020480464829e-7	0.004324324324324324
Variibacter	1649510	11	5.522018773759427e-7	0.003963963963963964
Burkholderia	32008	11	5.522018773759427e-7	0.003963963963963964
Micrococcus	1269	11	5.522018773759427e-7	0.003963963963963964
Dietzia	37914	11	5.522018773759427e-7	0.003963963963963964
Elizabethkingia	308865	11	5.522018773759427e-7	0.003963963963963964
Phyllobacterium	28100	10	5.020017067054024e-7	0.0036036036036036037
Sulfurifustis	1692042	10	5.020017067054024e-7	0.0036036036036036037
Alcaligenes	507	10	5.020017067054024e-7	0.0036036036036036037
Achromobacter	222	10	5.020017067054024e-7	0.0036036036036036037
Gordonia	2053	10	5.020017067054024e-7	0.0036036036036036037
Aquibium	2911176	9	4.518015360348622e-7	0.003243243243243243
Luteimonas	83614	9	4.518015360348622e-7	0.003243243243243243
Leucobacter	55968	9	4.518015360348622e-7	0.003243243243243243
Saccharothrix	2071	9	4.518015360348622e-7	0.003243243243243243
Fusobacterium	848	9	4.518015360348622e-7	0.003243243243243243
Curtobacterium	2034	8	4.0160136536432197e-7	0.002882882882882883
Micromonospora	1873	8	4.0160136536432197e-7	0.002882882882882883
Egicoccus	1755825	8	4.0160136536432197e-7	0.002882882882882883
Rhodobacter	1060	7	3.5140119469378174e-7	0.0025225225225225223
Massilia	149698	7	3.5140119469378174e-7	0.0025225225225225223
Actinosynnema	40566	7	3.5140119469378174e-7	0.0025225225225225223
Ensifer	106591	6	3.0120102402324145e-7	0.002162162162162162
Rhodopseudomonas	1073	6	3.0120102402324145e-7	0.002162162162162162
Methylorubrum	2282523	6	3.0120102402324145e-7	0.002162162162162162
Thioalkalivibrio	106633	6	3.0120102402324145e-7	0.002162162162162162
Cupriavidus	106589	6	3.0120102402324145e-7	0.002162162162162162
Herbaspirillum	963	6	3.0120102402324145e-7	0.002162162162162162
Thauera	33057	6	3.0120102402324145e-7	0.002162162162162162
Tessaracoccus	72763	6	3.0120102402324145e-7	0.002162162162162162
Renibacterium	1645	6	3.0120102402324145e-7	0.002162162162162162
Pengzhenrongella	2888818	6	3.0120102402324145e-7	0.002162162162162162
Actinomyces	1654	6	3.0120102402324145e-7	0.002162162162162162
Actinoplanes	1865	6	3.0120102402324145e-7	0.002162162162162162
Miltoncostaea	2843200	6	3.0120102402324145e-7	0.002162162162162162
Listeria	1637	6	3.0120102402324145e-7	0.002162162162162162
Aureimonas	414371	5	2.510008533527012e-7	0.0018018018018018018
Pseudosulfitobacter	2854186	5	2.510008533527012e-7	0.0018018018018018018
Novosphingobium	165696	5	2.510008533527012e-7	0.0018018018018018018
Pandoraea	93217	5	2.510008533527012e-7	0.0018018018018018018
Caballeronia	1827195	5	2.510008533527012e-7	0.0018018018018018018
Neisseria	482	5	2.510008533527012e-7	0.0018018018018018018
Aeromicrobium	2040	5	2.510008533527012e-7	0.0018018018018018018
Cellulosimicrobium	157920	5	2.510008533527012e-7	0.0018018018018018018
Brachybacterium	43668	5	2.510008533527012e-7	0.0018018018018018018
Kytococcus	57499	5	2.510008533527012e-7	0.0018018018018018018
Mycobacterium	1763	5	2.510008533527012e-7	0.0018018018018018018
Prauserella	142577	5	2.510008533527012e-7	0.0018018018018018018
Streptosporangium	2000	5	2.510008533527012e-7	0.0018018018018018018
Streptococcus	1301	5	2.510008533527012e-7	0.0018018018018018018
Caldibacillus	1276290	5	2.510008533527012e-7	0.0018018018018018018
Thermus	270	5	2.510008533527012e-7	0.0018018018018018018
