Taxon	TaxID	Fragments	PropTotal	PropNonHost
Actinobacteria	201174	490	4.9688992539451286e-5	0.45286506469500926
Proteobacteria	1224	425	4.3097595569932236e-5	0.3927911275415896
Firmicutes	1239	98	9.937798507890257e-6	0.09057301293900184
Bacteroidetes	976	49	4.968899253945128e-6	0.04528650646950092
Deinococcus-Thermus	1297	6	6.084366433402198e-7	0.005545286506469501
Cyanobacteria	1117	4	4.0562442889347986e-7	0.0036968576709796672
Acidobacteria	57723	3	3.042183216701099e-7	0.0027726432532347504
Euryarchaeota	28890	3	3.042183216701099e-7	0.0027726432532347504
Verrucomicrobia	74201	2	2.0281221444673993e-7	0.0018484288354898336
Planctomycetes	203682	2	2.0281221444673993e-7	0.0018484288354898336
