Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	1121	7.125550418576824e-5	0.6052915766738661
Actinobacteria	201174	436	2.7714005196248846e-5	0.23542116630669546
Pisuviricota	2732408	205	1.3030667580805076e-5	0.11069114470842333
Firmicutes	1239	41	2.6061335161610154e-6	0.022138228941684664
Cyanobacteria	1117	14	8.898992494208345e-7	0.00755939524838013
Duplornaviricota	2732405	11	6.9920655311637e-7	0.005939524838012959
Bacteroidetes	976	5	3.178211605074409e-7	0.0026997840172786176
Euryarchaeota	28890	5	3.178211605074409e-7	0.0026997840172786176
Planctomycetes	203682	4	2.542569284059527e-7	0.0021598272138228943
Acidobacteria	57723	3	1.9069269630446455e-7	0.0016198704103671706
Thaumarchaeota	651137	3	1.9069269630446455e-7	0.0016198704103671706
Deinococcus-Thermus	1297	2	1.2712846420297635e-7	0.0010799136069114472
Kitrinoviricota	2732406	2	1.2712846420297635e-7	0.0010799136069114472
