Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	1936	0.00017009543091691805	0.6618803418803418
Actinobacteria	201174	741	6.510367474660965e-5	0.25333333333333335
Pisuviricota	2732408	71	6.238003923089453e-6	0.024273504273504273
Firmicutes	1239	70	6.150144712905095e-6	0.023931623931623933
Uroviricota	2731618	36	3.162931566636906e-6	0.012307692307692308
Bacteroidetes	976	20	1.75718420368717e-6	0.006837606837606838
Duplornaviricota	2732405	13	1.1421697323966604e-6	0.0044444444444444444
Deinococcus-Thermus	1297	10	8.78592101843585e-7	0.003418803418803419
Planctomycetes	203682	10	8.78592101843585e-7	0.003418803418803419
Cyanobacteria	1117	7	6.150144712905094e-7	0.002393162393162393
Euryarchaeota	28890	7	6.150144712905094e-7	0.002393162393162393
Chlorobi	1090	2	1.75718420368717e-7	0.0006837606837606838
Preplasmiviricota	2732008	2	1.75718420368717e-7	0.0006837606837606838
