Taxon	TaxID	Fragments	PropTotal	PropNonHost
Proteobacteria	1224	2003	0.0005040823624777497	0.6149831132944428
Actinobacteria	201174	1037	0.00026097524208159087	0.3183911575069082
Firmicutes	1239	121	3.045130597094744e-5	0.037150752225974824
Bacteroidetes	976	66	1.6609803256880424e-5	0.02026404666871354
Planctomycetes	203682	8	2.0133094856824755e-6	0.002456248081056187
Uroviricota	2731618	7	1.761645799972166e-6	0.0021492170709241634
Euryarchaeota	28890	6	1.5099821142618565e-6	0.00184218606079214
Acidobacteria	57723	5	1.2583184285515472e-6	0.0015351550506601166
Deinococcus-Thermus	1297	2	5.033273714206189e-7	0.0006140620202640467
Verrucomicrobia	74201	2	5.033273714206189e-7	0.0006140620202640467
