Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	922	0.00012983605874053672	0.5096738529574351
Cutibacterium acnes	1747	68	9.575761382165398e-6	0.037589828634604756
Stenotrophomonas maltophilia	40324	59	8.308381199231742e-6	0.0326147042564953
Pseudomonas aeruginosa	287	35	4.928700711408661e-6	0.019347705914870093
Pseudomonas putida	303	31	4.365420630104814e-6	0.017136539524599224
Variovorax paradoxus	34073	27	3.8021405488009668e-6	0.014925373134328358
Prevotella melaninogenica	28132	27	3.8021405488009668e-6	0.014925373134328358
Pseudomonas stutzeri	316	24	3.3796804878230815e-6	0.013266998341625208
Acinetobacter lwoffii	28090	23	3.2388604674971197e-6	0.01271420674405749
Lactococcus lactis	1358	21	2.9572204268451966e-6	0.011608623548922056
Comamonas thiooxydans	363952	20	2.816400406519235e-6	0.01105583195135434
Citrobacter freundii	546	18	2.5347603658673113e-6	0.009950248756218905
Acidovorax sp. T1	1858609	18	2.5347603658673113e-6	0.009950248756218905
Caulobacter vibrioides	155892	16	2.2531203252153878e-6	0.008844665561083471
Streptomyces sp. 11-1-2	1851167	12	1.6898402439115407e-6	0.006633499170812604
Brevundimonas sp. CS1	2813778	11	1.549020223585579e-6	0.006080707573244887
Prevotella oris	28135	11	1.549020223585579e-6	0.006080707573244887
Pseudomonas sp. phDV1	253237	10	1.4082002032596174e-6	0.00552791597567717
Mesorhizobium sp. Pch-S	2082387	10	1.4082002032596174e-6	0.00552791597567717
Micrococcus luteus	1270	10	1.4082002032596174e-6	0.00552791597567717
Pseudomonas azotoformans	47878	9	1.2673801829336557e-6	0.004975124378109453
Pseudomonas brassicacearum	930166	9	1.2673801829336557e-6	0.004975124378109453
Bosea sp. RAC05	1842539	9	1.2673801829336557e-6	0.004975124378109453
Bosea vaviloviae	1526658	9	1.2673801829336557e-6	0.004975124378109453
Caenibius tardaugens	169176	9	1.2673801829336557e-6	0.004975124378109453
Tessaracoccus aquimaris	1332264	9	1.2673801829336557e-6	0.004975124378109453
Microbacterium sp. PM5	2014534	9	1.2673801829336557e-6	0.004975124378109453
Rhodococcus fascians	1828	9	1.2673801829336557e-6	0.004975124378109453
Pseudomonas sp. NS1(2017)	2025658	8	1.1265601626076939e-6	0.004422332780541736
Acinetobacter johnsonii	40214	8	1.1265601626076939e-6	0.004422332780541736
Bosea sp. AS-1	2015316	8	1.1265601626076939e-6	0.004422332780541736
Caulobacter sp. FWC26	69665	8	1.1265601626076939e-6	0.004422332780541736
