Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	16548	0.0010751579454971328	0.9450599657338664
Comamonas aquatica	225991	93	6.042403246992589e-6	0.005311250713877784
Pseudomonas stutzeri	316	59	3.833352597554438e-6	0.0033695031410622502
Acinetobacter lwoffii	28090	25	1.6243019481162874e-6	0.0014277555682467161
Pseudonocardia sp. HH130629-09	1641402	21	1.3644136364176814e-6	0.0011993146773272415
Stenotrophomonas maltophilia	40324	20	1.29944155849303e-6	0.001142204454597373
Acidovorax sp. T1	1858609	20	1.29944155849303e-6	0.001142204454597373
Nocardiopsis alba	53437	18	1.169497402643727e-6	0.0010279840091376355
Acinetobacter junii	40215	17	1.1045253247190754e-6	0.000970873786407767
Clostridium botulinum	1491	16	1.039553246794424e-6	0.0009137635636778984
Pseudomonas protegens	380021	14	9.096090909451208e-7	0.0007995431182181611
Halomonas sp. 18071143	2855441	13	8.446370130204694e-7	0.0007424328954882924
Streptomyces sp. 135	2838850	13	8.446370130204694e-7	0.0007424328954882924
Sphingobium yanoikuyae	13690	12	7.796649350958179e-7	0.0006853226727584238
Nocardiopsis dassonvillei	2014	12	7.796649350958179e-7	0.0006853226727584238
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	11	7.146928571711664e-7	0.0006282124500285551
Rhizobium sp. BG4	2613770	11	7.146928571711664e-7	0.0006282124500285551
Prauserella marina	530584	11	7.146928571711664e-7	0.0006282124500285551
Rhodococcus sp. W8901	2742603	11	7.146928571711664e-7	0.0006282124500285551
Blastomonas fulva	1550728	9	5.847487013218635e-7	0.0005139920045688178
Pseudomonas putida	303	9	5.847487013218635e-7	0.0005139920045688178
Sulfurifustis variabilis	1675686	9	5.847487013218635e-7	0.0005139920045688178
Pseudonocardia autotrophica	2074	9	5.847487013218635e-7	0.0005139920045688178
Glutamicibacter nicotianae	37929	9	5.847487013218635e-7	0.0005139920045688178
Streptomyces buecherae	2763006	9	5.847487013218635e-7	0.0005139920045688178
Miniimonas sp. S16	2171623	8	5.19776623397212e-7	0.0004568817818389492
Nocardiopsis sp. MT53	2865672	8	5.19776623397212e-7	0.0004568817818389492
Actinomarinicola tropica	2789776	8	5.19776623397212e-7	0.0004568817818389492
Aminobacter sp. MSH1	374606	7	4.548045454725604e-7	0.00039977155910908053
Bosea sp. RAC05	1842539	7	4.548045454725604e-7	0.00039977155910908053
Hartmannibacter diazotrophicus	1482074	7	4.548045454725604e-7	0.00039977155910908053
Sphingopyxis terrae	33052	7	4.548045454725604e-7	0.00039977155910908053
Brevundimonas sp. MF30-B	2561924	7	4.548045454725604e-7	0.00039977155910908053
Pseudomonas wenzhouensis	2906062	7	4.548045454725604e-7	0.00039977155910908053
Microcella alkaliphila	279828	7	4.548045454725604e-7	0.00039977155910908053
Bradyrhizobium sp. ORS 285	115808	6	3.8983246754790897e-7	0.0003426613363792119
Bradyrhizobium guangzhouense	1325095	6	3.8983246754790897e-7	0.0003426613363792119
Pannonibacter phragmitetus	121719	6	3.8983246754790897e-7	0.0003426613363792119
Sphingomonas melonis	152682	6	3.8983246754790897e-7	0.0003426613363792119
Paracoccus sp. Arc7-R13	2500532	6	3.8983246754790897e-7	0.0003426613363792119
Pseudomonas mendocina	300	6	3.8983246754790897e-7	0.0003426613363792119
Thermomonas carbonis	1463158	6	3.8983246754790897e-7	0.0003426613363792119
Pseudoxanthomonas suwonensis	314722	6	3.8983246754790897e-7	0.0003426613363792119
Schlegelella thermodepolymerans	215580	6	3.8983246754790897e-7	0.0003426613363792119
Cupriavidus metallidurans	119219	6	3.8983246754790897e-7	0.0003426613363792119
Ralstonia solanacearum	305	6	3.8983246754790897e-7	0.0003426613363792119
Microbacterium oleivorans	273677	6	3.8983246754790897e-7	0.0003426613363792119
Spiractinospora alimapuensis	2820884	6	3.8983246754790897e-7	0.0003426613363792119
Micromonospora purpureochromogenes	47872	6	3.8983246754790897e-7	0.0003426613363792119
Mesorhizobium sp. J8	2777475	5	3.248603896232575e-7	0.00028555111364934324
Nitratireductor sp. SY7	2599600	5	3.248603896232575e-7	0.00028555111364934324
Aquibium oceanicum	1670800	5	3.248603896232575e-7	0.00028555111364934324
Ensifer adhaerens	106592	5	3.248603896232575e-7	0.00028555111364934324
Pelagibacterium halotolerans	531813	5	3.248603896232575e-7	0.00028555111364934324
Pseudorhodoplanes sinuspersici	1235591	5	3.248603896232575e-7	0.00028555111364934324
Marinicauda algicola	2029849	5	3.248603896232575e-7	0.00028555111364934324
Luteimonas sp. S4-F44	2925842	5	3.248603896232575e-7	0.00028555111364934324
Acinetobacter nosocomialis	106654	5	3.248603896232575e-7	0.00028555111364934324
Acinetobacter schindleri	108981	5	3.248603896232575e-7	0.00028555111364934324
Acinetobacter bereziniae	106648	5	3.248603896232575e-7	0.00028555111364934324
Hydrogenophaga sp. RAC07	1842537	5	3.248603896232575e-7	0.00028555111364934324
Hydrogenophaga sp. PBC	795665	5	3.248603896232575e-7	0.00028555111364934324
Pseudonocardia sp. CGMCC 4.1532	2761535	5	3.248603896232575e-7	0.00028555111364934324
Amycolatopsis sp. WQ 127309	2932773	5	3.248603896232575e-7	0.00028555111364934324
Kibdelosporangium phytohabitans	860235	5	3.248603896232575e-7	0.00028555111364934324
Streptomyces harbinensis	1176198	5	3.248603896232575e-7	0.00028555111364934324
Severe acute respiratory syndrome-related coronavirus	694009	5	3.248603896232575e-7	0.00028555111364934324
Teseptimavirus T7	1985738	5	3.248603896232575e-7	0.00028555111364934324
Mesorhizobium terrae	2725666	4	2.59888311698606e-7	0.0002284408909194746
Bradyrhizobium erythrophlei	1437360	4	2.59888311698606e-7	0.0002284408909194746
Bosea vaviloviae	1526658	4	2.59888311698606e-7	0.0002284408909194746
Devosia salina	2860336	4	2.59888311698606e-7	0.0002284408909194746
Paradevosia shaoguanensis	1335043	4	2.59888311698606e-7	0.0002284408909194746
Blastochloris viridis	1079	4	2.59888311698606e-7	0.0002284408909194746
Blastomonas sp. RAC04	1842535	4	2.59888311698606e-7	0.0002284408909194746
Sphingosinicella microcystinivorans	335406	4	2.59888311698606e-7	0.0002284408909194746
Paracoccus zhejiangensis	1077935	4	2.59888311698606e-7	0.0002284408909194746
Rhodobacter sp. LPB0142	1850250	4	2.59888311698606e-7	0.0002284408909194746
Lysobacter capsici	435897	4	2.59888311698606e-7	0.0002284408909194746
Aeromonas hydrophila	644	4	2.59888311698606e-7	0.0002284408909194746
Achromobacter xylosoxidans	85698	4	2.59888311698606e-7	0.0002284408909194746
Pseudonocardia sp. DSM 110487	2865833	4	2.59888311698606e-7	0.0002284408909194746
Nonomuraea coxensis	404386	4	2.59888311698606e-7	0.0002284408909194746
Dietzia psychralcaliphila	139021	4	2.59888311698606e-7	0.0002284408909194746
Dietzia sp. oral taxon 368	712270	4	2.59888311698606e-7	0.0002284408909194746
Nocardioides sambongensis	2589074	4	2.59888311698606e-7	0.0002284408909194746
Egicoccus halophilus	1670830	4	2.59888311698606e-7	0.0002284408909194746
Halalkalibacterium halodurans	86665	4	2.59888311698606e-7	0.0002284408909194746
Nitratireductor kimnyeongensis	430679	3	1.9491623377395449e-7	0.00017133066818960594
Aquibium microcysteis	675281	3	1.9491623377395449e-7	0.00017133066818960594
Bradyrhizobium icense	1274631	3	1.9491623377395449e-7	0.00017133066818960594
Rhodopseudomonas palustris	1076	3	1.9491623377395449e-7	0.00017133066818960594
Georhizobium profundi	2341112	3	1.9491623377395449e-7	0.00017133066818960594
Bosea sp. ANAM02	2020412	3	1.9491623377395449e-7	0.00017133066818960594
Xanthobacter sp. YC-JY1	2419844	3	1.9491623377395449e-7	0.00017133066818960594
Azorhizobium caulinodans	7	3	1.9491623377395449e-7	0.00017133066818960594
Starkeya sp. ORNL1	2709380	3	1.9491623377395449e-7	0.00017133066818960594
Hyphomicrobium nitrativorans	1427356	3	1.9491623377395449e-7	0.00017133066818960594
Erythrobacter mangrovi	2739433	3	1.9491623377395449e-7	0.00017133066818960594
Qipengyuania soli	2782568	3	1.9491623377395449e-7	0.00017133066818960594
Tsuneonella amylolytica	2338327	3	1.9491623377395449e-7	0.00017133066818960594
Sphingosinicella flava	2771430	3	1.9491623377395449e-7	0.00017133066818960594
Paracoccus tegillarcae	1529068	3	1.9491623377395449e-7	0.00017133066818960594
Polymorphum gilvum	991904	3	1.9491623377395449e-7	0.00017133066818960594
Caulobacter henricii	69395	3	1.9491623377395449e-7	0.00017133066818960594
Pseudomonas sp. MTM4	2705472	3	1.9491623377395449e-7	0.00017133066818960594
Halomonas beimenensis	475662	3	1.9491623377395449e-7	0.00017133066818960594
Variovorax sp. PAMC26660	2762322	3	1.9491623377395449e-7	0.00017133066818960594
Thauera aromatica	59405	3	1.9491623377395449e-7	0.00017133066818960594
