Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	2598	0.00022825822805896338	0.5431737403303366
Comamonas aquatica	225991	289	2.5391311743279606e-5	0.06042232908216601
Pseudomonas stutzeri	316	86	7.555892075854831e-6	0.01798034706251307
Acidovorax sp. T1	1858609	73	6.41372234345817e-6	0.015262387622830859
Severe acute respiratory syndrome-related coronavirus	694009	71	6.238003923089453e-6	0.014844240016725904
Pseudomonas aeruginosa	287	65	5.710848661983303e-6	0.013589797198411038
Sphingomonas melonis	152682	53	4.6565381397710005e-6	0.01108091156178131
Teseptimavirus T7	1985738	42	3.690086827743057e-6	0.008781099728204057
Acinetobacter junii	40215	35	3.0750723564525474e-6	0.007317583106836713
Acinetobacter lwoffii	28090	35	3.0750723564525474e-6	0.007317583106836713
Pseudonocardia sp. AL041005-10	445576	33	2.8993539360838303e-6	0.006899435500731758
Nocardiopsis alba	53437	33	2.8993539360838303e-6	0.006899435500731758
Acinetobacter baumannii	470	32	2.811494725899472e-6	0.00669036169767928
Diaphorobacter sp. JS3051	2792224	28	2.460057885162038e-6	0.005854066485469371
Sphingopyxis sp. FD7	1914525	20	1.75718420368717e-6	0.004181476061049551
Acinetobacter sp. WY4	2708348	20	1.75718420368717e-6	0.004181476061049551
Blastomonas sp. RAC04	1842535	19	1.6693249935028114e-6	0.003972402257997073
Prauserella marina	530584	19	1.6693249935028114e-6	0.003972402257997073
Mycobacterium canettii	78331	18	1.581465783318453e-6	0.0037633284549445953
Halomonas sp. NyZ770	2883106	17	1.4936065731340944e-6	0.0035542546518921177
Pseudonocardia autotrophica	2074	17	1.4936065731340944e-6	0.0035542546518921177
Bosea sp. RAC05	1842539	16	1.405747362949736e-6	0.00334518084883964
Sphingobium cloacae	120107	16	1.405747362949736e-6	0.00334518084883964
Comamonas thiooxydans	363952	15	1.3178881527653774e-6	0.003136107045787163
Kocuria palustris	71999	15	1.3178881527653774e-6	0.003136107045787163
Hyphomicrobium nitrativorans	1427356	14	1.230028942581019e-6	0.0029270332427346855
Sphingobium yanoikuyae	13690	14	1.230028942581019e-6	0.0029270332427346855
Pseudomonas putida	303	14	1.230028942581019e-6	0.0029270332427346855
Nocardiopsis dassonvillei	2014	14	1.230028942581019e-6	0.0029270332427346855
Paracoccus sp. Arc7-R13	2500532	13	1.1421697323966604e-6	0.002717959439682208
Cupriavidus metallidurans	119219	13	1.1421697323966604e-6	0.002717959439682208
Streptomyces sp. SCUT-3	2684469	13	1.1421697323966604e-6	0.002717959439682208
Rotavirus A	28875	13	1.1421697323966604e-6	0.002717959439682208
Bradyrhizobium sp. 200	2782665	12	1.0543105222123019e-6	0.0025088856366297305
Rhodopseudomonas palustris	1076	12	1.0543105222123019e-6	0.0025088856366297305
Acinetobacter schindleri	108981	12	1.0543105222123019e-6	0.0025088856366297305
Serinicoccus profundi	1078471	12	1.0543105222123019e-6	0.0025088856366297305
