Taxon	TaxID	Fragments	PropTotal	PropNonHost
Homo sapiens	9606	3504	0.00039294607958907527	0.9795918367346939
Pseudomonas sp. HN2-3	2886360	10	1.1214214600144844e-6	0.0027956388034665923
Delftia acidovorans	80866	10	1.1214214600144844e-6	0.0027956388034665923
Cutibacterium acnes	1747	9	1.0092793140130358e-6	0.002516074923119933
Paracoccus pantotrophus	82367	8	8.971371680115874e-7	0.0022365110427732737
Brevundimonas sp. MF30-B	2561924	7	7.84995022010139e-7	0.0019569471624266144
Acinetobacter lwoffii	28090	7	7.84995022010139e-7	0.0019569471624266144
Rhodococcus erythropolis	1833	5	5.607107300072422e-7	0.0013978194017332962
Nocardiopsis dassonvillei	2014	4	4.485685840057937e-7	0.0011182555213866368
Prevotella intermedia	28131	4	4.485685840057937e-7	0.0011182555213866368
Thioflavicoccus mobilis	80679	3	3.364264380043453e-7	0.0008386916410399776
Afipia carboxidovorans	40137	2	2.2428429200289685e-7	0.0005591277606933184
Cutibacterium granulosum	33011	2	2.2428429200289685e-7	0.0005591277606933184
Weizmannia coagulans	1398	2	2.2428429200289685e-7	0.0005591277606933184
